,wallets,initiated_by_gr_participant,trx_gr_participants_during_round,trx_between_gr_participants,first_trx_d_round
325,0x0f46540678c7e6d2ef983b382cc07fa815ab148c,False,False,False,False
326,0x17174abcebb094bd48d8eb1912e021144de41d57,False,False,False,False
327,0x6f655d8376d85d528d0abf7fb6fd4ea7075c9a6d,False,False,False,False
328,0x66959bee451c0e56c8ba86841040856e3b57823c,False,False,False,False
329,0x55aed0ce035883626e536254dda2f23a5b5d977f,False,False,False,False
330,0x11d45a62e240bef07f0619ed024a8df7d63ccdc3,False,False,False,False
331,0x808f0385f2c9c4e510f8c87061d3487e1420d3e8,False,False,False,False
332,0x196e934954e5fb6dd18c55fbfca44373695f42e6,False,False,False,False
333,0xc4c432dda413ac8ec421844703e831985a6833e5,False,False,False,False
334,0x3707786e5d5134bc575881fae1ef29070f370625,False,False,False,False
335,0xa718d4b4f1cedc162c2ae0d880dddbced3921d40,False,False,False,True
336,0xe890b4bc5ea4a4af0e7ee2ba26ca6131c2d77b41,False,False,False,False
337,0x20f888f7ecadb3b2cc2c103c4fd3994f3c9acda8,False,False,False,False
338,0x70828df613df170ed2924450ac1107814b31f479,False,False,False,False
339,0xb96bdbd0a6cc920d4147f388014b6385b068df4e,False,False,False,False
340,0x995da28d2c55167fdf48f8ca73d11e4f0f1f1e60,False,False,False,False
341,0x34eb91274fd8eb01fdd6360c4496ab5dca587373,False,False,False,False
342,0x9dac388d2281193deec59f0187b8325439b517dd,False,False,False,False
343,0xe243757071dd9ae8d4f4ef87bbef0114f0284e0b,False,False,False,False
344,0x406ea761fa359ecf45bda6008cb8c11a782af992,False,False,False,False
345,0xc2308dcb1844e4bc0cb65cbcfe465e8d289a4c48,False,False,False,False
346,0xcd747f6138582bcf60b4efb4b3622630029c5612,False,False,False,False
347,0x442feea58ed534d15b6773322567f8e954563b44,False,False,False,False
348,0xcd5616abedfe4b4ca20a77b3d9fa79f5d9543bf1,False,False,False,False
349,0x1cfd540baaa092124d8bfb29dbd5762bd80f1b56,False,False,False,False
350,0x1ea70dd64980e90ea462a6fc3c1ead6621432157,False,False,False,False
